LS,Model,Paired samples,Dataset,Samples_Validation,Samples_Test
0.19918266125023365,GAN,100,edges2shoes,160,40
0.197277020663023,GAN,100,edges2shoes,160,40
0.18398787640035152,GAN,100,edges2shoes,160,40
0.20709695480763912,GAN,100,edges2shoes,160,40
0.1931029949337244,GAN,100,edges2shoes,160,40
0.1648500096052885,GAN,100,edges2shoes,160,40
0.2281373254954815,GAN,100,edges2shoes,160,40
0.1764399316161871,GAN,100,edges2shoes,160,40
0.19546093232929707,GAN,100,edges2shoes,160,40
0.24289108626544476,GAN,100,edges2shoes,160,40
0.4614328145980835,GAN,1000,edges2shoes,160,40
0.4914138615131378,GAN,1000,edges2shoes,160,40
0.4868180975317955,GAN,1000,edges2shoes,160,40
0.4894701614975929,GAN,1000,edges2shoes,160,40
0.5159566402435303,GAN,1000,edges2shoes,160,40
0.4466138854622841,GAN,1000,edges2shoes,160,40
0.496683269739151,GAN,1000,edges2shoes,160,40
0.4755656234920025,GAN,1000,edges2shoes,160,40
0.5014562234282494,GAN,1000,edges2shoes,160,40
0.4484795890748501,GAN,1000,edges2shoes,160,40
0.4587823525071144,GAN,49825,edges2shoes,160,40
0.49065449088811874,GAN,49825,edges2shoes,160,40
0.47518329322338104,GAN,49825,edges2shoes,160,40
0.5073818042874336,GAN,49825,edges2shoes,160,40
0.4914328381419182,GAN,49825,edges2shoes,160,40
0.4772345498204231,GAN,49825,edges2shoes,160,40
0.46360666304826736,GAN,49825,edges2shoes,160,40
0.45902401581406593,GAN,49825,edges2shoes,160,40
0.47111673653125763,GAN,49825,edges2shoes,160,40
0.48572762310504913,GAN,49825,edges2shoes,160,40
0.49867895245552063,FactorGAN,100,edges2shoes,160,40
0.48741042986512184,FactorGAN,100,edges2shoes,160,40
0.4798458069562912,FactorGAN,100,edges2shoes,160,40
0.4852375388145447,FactorGAN,100,edges2shoes,160,40
0.5021589547395706,FactorGAN,100,edges2shoes,160,40
0.5132415220141411,FactorGAN,100,edges2shoes,160,40
0.5196625292301178,FactorGAN,100,edges2shoes,160,40
0.4916936084628105,FactorGAN,100,edges2shoes,160,40
0.4872872121632099,FactorGAN,100,edges2shoes,160,40
0.5147524625062943,FactorGAN,100,edges2shoes,160,40
0.5059081017971039,FactorGAN,1000,edges2shoes,160,40
0.5109081342816353,FactorGAN,1000,edges2shoes,160,40
0.47647980600595474,FactorGAN,1000,edges2shoes,160,40
0.5170110575854778,FactorGAN,1000,edges2shoes,160,40
0.49985283613204956,FactorGAN,1000,edges2shoes,160,40
0.50772500410676,FactorGAN,1000,edges2shoes,160,40
0.5248940289020538,FactorGAN,1000,edges2shoes,160,40
